"Pclass","Sex","Age","SibSp","Parch","Embarked","Count.ticket","Unit.price"
3,"male",22,1,0,"S",1,7.25
1,"female",38,1,0,"C",2,35.64165
3,"female",26,0,0,"S",1,7.925
1,"female",35,1,0,"S",2,26.55
3,"male",35,0,0,"S",1,8.05
3,"male",33,0,0,"Q",1,8.4583
1,"male",54,0,0,"S",2,25.93125
3,"male",2,3,1,"S",5,4.215
3,"female",27,0,2,"S",3,3.7111
2,"female",14,1,0,"C",2,15.0354
3,"female",4,1,1,"S",3,5.56666666666667
1,"female",58,0,0,"S",1,26.55
3,"male",20,0,0,"S",1,8.05
3,"male",39,1,5,"S",7,4.46785714285714
3,"female",14,0,0,"S",1,7.8542
2,"female",55,0,0,"S",1,16
3,"male",2,4,1,"Q",6,4.85416666666667
2,"male",57,0,0,"S",1,13
3,"female",31,1,0,"S",2,9
3,"female",15,0,0,"C",1,7.225
2,"male",35,0,0,"S",2,13
2,"male",34,0,0,"S",1,13
3,"female",15,0,0,"Q",1,8.0292
1,"male",28,0,0,"S",1,35.5
3,"female",8,3,1,"S",5,4.215
3,"female",38,1,5,"S",7,4.48392857142857
3,"male",30,0,0,"C",1,7.225
1,"male",19,3,2,"S",6,43.8333333333333
3,"female",18,0,0,"Q",1,7.8792
3,"male",26,0,0,"S",1,7.8958
1,"male",40,0,0,"C",1,27.7208
1,"female",38,1,0,"C",3,48.8402666666667
3,"female",18,0,0,"Q",1,7.75
2,"male",66,0,0,"S",1,10.5
1,"male",28,1,0,"C",2,41.0854
1,"male",42,1,0,"S",2,26
3,"male",23.5,0,0,"C",1,7.2292
3,"male",21,0,0,"S",1,8.05
3,"female",18,2,0,"S",2,9
3,"female",14,1,0,"C",2,5.62085
3,"female",40,1,0,"S",1,9.475
2,"female",27,1,0,"S",2,10.5
3,"male",33,0,0,"C",1,7.8958
2,"female",3,1,2,"C",4,10.3948
3,"female",19,0,0,"Q",1,7.8792
3,"male",26,0,0,"S",1,8.05
3,"male",26,1,0,"Q",2,7.75
3,"female",18,0,0,"Q",1,7.75
3,"male",24,2,0,"C",3,7.2264
3,"female",18,1,0,"S",2,8.9
3,"male",7,4,1,"S",7,5.66964285714286
3,"male",21,0,0,"S",1,7.8
1,"female",49,1,0,"C",3,25.5764
2,"female",29,1,0,"S",2,13
1,"male",65,0,1,"C",2,30.9896
1,"male",44,0,0,"S",1,35.5
2,"female",21,0,0,"S",1,10.5
3,"male",28.5,0,0,"C",1,7.2292
2,"female",5,1,2,"S",4,6.9375
3,"male",11,5,2,"S",8,5.8625
3,"male",22,0,0,"C",1,7.2292
