"Pclass","Sex","Age","SibSp","Parch","Embarked","Count.ticket","Unit.price","Survived"
"1","female",38,"1","0","C",2,35.64165,"1"
"3","female",26,"0","0","S",1,7.925,"1"
"1","female",35,"1","0","S",2,26.55,"1"
"3","female",27,"0","2","S",3,3.7111,"1"
"2","female",14,"1","0","C",2,15.0354,"1"
"3","female",4,"1","1","S",3,5.56666666666667,"1"
"1","female",58,"0","0","S",1,26.55,"1"
"2","female",55,"0","0","S",1,16,"1"
"2","male",57,"0","0","S",1,13,"1"
"3","female",15,"0","0","C",1,7.225,"1"
"2","male",34,"0","0","S",1,13,"1"
"3","female",15,"0","0","Q",1,8.0292,"1"
"1","male",28,"0","0","S",1,35.5,"1"
"3","female",38,"1","5","S",7,4.48392857142857,"1"
"3","female",18,"0","0","Q",1,7.8792,"1"
"1","female",38,"1","0","C",3,48.8402666666667,"1"
"3","female",18,"0","0","Q",1,7.75,"1"
"3","male",23.5,"0","0","C",1,7.2292,"1"
"3","female",14,"1","0","C",2,5.62085,"1"
"2","female",3,"1","2","C",4,10.3948,"1"
"3","female",19,"0","0","Q",1,7.8792,"1"
"3","female",18,"0","0","Q",1,7.75,"1"
"1","female",49,"1","0","C",3,25.5764,"1"
"2","female",29,"1","0","S",2,13,"1"
"1","male",44,"0","0","S",1,35.5,"1"
"2","female",21,"0","0","S",1,10.5,"1"
"2","female",5,"1","2","S",4,6.9375,"1"
"1","female",38,"0","0","S",2,40,"1"
"3","male",7,"1","1","C",3,5.08193333333333,"1"
"2","female",29,"0","0","S",1,10.5,"1"
"3","female",17,"4","2","S",1,7.925,"1"
"3","male",32,"0","0","S",8,7.061975,"1"
"2","male",0.83,"0","2","S",3,9.66666666666667,"1"
"3","female",30,"0","0","S",2,6.2375,"1"
"3","male",29,"0","0","S",1,9.5,"1"
"3","female",18,"0","0","Q",1,7.7875,"1"
"2","female",17,"0","0","S",1,10.5,"1"
"3","female",33,"3","0","S",2,7.925,"1"
"1","female",23,"3","2","S",6,43.8333333333333,"1"
"1","male",23,"0","1","C",2,31.67915,"1"
"2","female",34,"0","1","S",2,11.5,"1"
"3","female",21,"0","0","S",1,7.65,"1"
"3","male",65,"0","0","S",1,7.775,"1"
"3","female",14.5,"1","0","Q",3,8.05,"1"
"2","female",32.5,"0","0","S",1,13,"1"
"3","male",12,"1","0","C",2,5.62085,"1"
"3","male",24,"0","0","S",1,7.1417,"1"
"3","female",30,"1","1","C",3,7.45276666666667,"1"
"2","female",29,"1","0","S",2,13,"1"
"1","female",19,"0","2","S",1,26.2833,"1"
"3","female",22,"0","0","S",1,7.75,"1"
"3","female",24,"1","0","S",2,7.925,"1"
"3","male",27,"0","0","S",1,7.7958,"1"
"1","female",22,"1","0","S",2,33.3,"1"
"3","female",16,"0","0","Q",1,7.7333,"1"
"2","female",40,"0","0","S",2,7.875,"1"
"3","male",9,"0","2","S",3,6.84166666666667,"1"
"1","female",33,"0","1","S",2,27.5,"1"
"3","female",1,"1","1","S",3,3.7111,"1"
"2","male",1,"2","1","S",4,9.75,"1"
"3","female",4,"0","2","S",3,7.34166666666667,"1"
"3","female",14.5,"1","0","Q",2,7.75,"1"
"1","male",45,"0","0","S",1,26.55,"1"
"2","female",32,"0","0","S",1,13,"1"
"3","female",19,"1","0","S",1,7.8542,"1"
"2","male",3,"1","1","S",3,8.66666666666667,"1"
"1","female",44,"0","0","C",1,27.7208,"1"
"1","female",58,"0","0","C",3,48.8402666666667,"1"
"3","female",18,"0","0","Q",1,7.75,"1"
"3","male",18,"0","0","S",1,8.05,"1"
"3","male",26,"0","0","C",2,9.39375,"1"
"3","female",16,"0","0","Q",1,7.75,"1"
"1","male",40,"0","0","C",1,31,"1"
"2","female",35,"0","0","S",2,10.5,"1"
"1","female",31,"1","0","C",3,37.7583333333333,"1"
"3","female",27,"0","0","S",1,7.925,"1"
"1","female",32,"0","0","C",2,38.14585,"1"
"3","male",16,"0","0","S",1,8.05,"1"
"1","male",38,"1","0","S",2,45,"1"
"2","male",19,"0","0","S",1,10.5,"1"
"1","female",35,"1","0","S",2,41.7375,"1"
"3","female",5,"4","2","S",7,4.48392857142857,"1"
"2","female",8,"0","2","S",3,8.75,"1"
"3","female",14.5,"1","0","Q",2,7.75,"1"
"2","female",24,"0","2","S",2,7.25,"1"
"1","male",37,"1","1","S",2,26.2771,"1"
"3","female",29,"0","2","C",3,5.08193333333333,"1"
"1","female",38,"0","0","C",2,39.6,"1"
"1","female",30,"0","0","S",3,28.8333333333333,"1"
"1","female",35,"0","0","C",4,34.5099845201238,"1"
"2","female",50,"0","1","S",2,13,"1"
"3","male",3,"4","2","S",7,4.48392857142857,"1"
"3","male",25,"1","0","S",1,7.775,"1"
"1","female",58,"0","1","S",3,51.1541666666667,"1"
"1","female",35,"0","0","S",4,33.908325,"1"
"3","male",25,"0","0","S",4,7.25,"1"
"2","female",41,"0","1","S",2,9.75,"1"
"3","female",18,"0","0","Q",1,7.75,"1"
"1","female",63,"1","0","S",3,25.9861,"1"
"3","female",35,"1","1","S",3,6.75,"1"
"3","male",19,"0","0","S",1,8.05,"1"
"3","male",30,"0","0","S",1,9.5,"1"
"2","male",42,"0","0","S",1,13,"1"
"3","female",22,"0","0","Q",1,7.75,"1"
"1","female",26,"0","0","S",3,26.2833333333333,"1"
"1","female",19,"1","0","C",2,45.5396,"1"
"1","male",44,"0","0","S",1,30.5,"1"
"1","female",50,"0","1","C",3,82.5069333333333,"1"
"3","female",18,"0","0","Q",1,7.75,"1"
"3","male",26,"2","0","Q",3,7.75,"1"
"2","female",23,"0","0","Q",1,12.35,"1"
"1","male",0.92,"1","2","S",6,25.2583333333333,"1"
"1","female",38,"0","0","C",4,27.720825,"1"
"1","female",17,"1","0","C",3,36.3,"1"
"1","female",30,"0","0","C",2,28.4646,"1"
"1","female",24,"0","0","C",3,27.7194333333333,"1"
"1","female",18,"2","2","C",7,37.4821428571429,"1"
"3","female",26,"0","0","S",1,7.8542,"1"
"2","female",24,"1","0","S",2,13,"1"
"1","female",31,"0","2","S",4,41.216675,"1"
"1","female",40,"1","1","C",5,26.9,"1"
"2","female",30,"0","0","Q",1,12.35,"1"
"2","female",22,"1","1","S",3,9.66666666666667,"1"
"1","female",36,"0","0","C",4,33.908325,"1"
"2","female",36,"0","0","S",1,13,"1"
"3","female",31,"1","1","S",3,6.84166666666667,"1"
"1","female",16,"0","1","C",2,28.9896,"1"
"3","female",14.5,"2","0","Q",3,7.75,"1"
"1","female",33,"1","0","S",2,66.825,"1"
"1","female",41,"0","0","C",5,26.9,"1"
"3","male",45,"0","0","S",1,8.05,"1"
"2","male",2,"1","1","S",3,8.66666666666667,"1"
"1","female",24,"3","2","S",6,43.8333333333333,"1"
"2","female",24,"0","0","S",1,13,"1"
"2","female",40,"0","0","S",1,13,"1"
"3","female",19,"1","0","S",2,8.05,"1"
"3","male",3,"1","1","S",3,5.3,"1"
"1","female",22,"0","1","S",2,27.5,"1"
"3","female",18,"0","0","Q",1,7.8792,"1"
"3","female",18,"0","0","Q",1,7.8792,"1"
"1","female",60,"1","0","C",2,37.625,"1"
"3","female",18,"0","0","C",1,7.2292,"1"
"3","female",18,"0","0","Q",1,7.75,"1"
"1","female",24,"0","0","C",2,34.65,"1"
